IP, EA, H-L gap
[5.933, 3.9682, 0.020885056094]
[5.8127, 4.1559, 0.004346557608]
[6.2273, 3.6691, 0.003704525303]
[5.9349, 4.0429, 0.007583842598]
[5.7999, 4.2238, 0.00101944576]
[6.1821, 3.7095, 0.007522084847]
[5.8981, 4.0871, 0.004589749922]
[5.7628, 4.2653, 0.000842102401]
[6.1526, 3.7447, 0.005705754052]
[5.8658, 4.1244, 0.00312800092]
[5.7327, 4.3012, 0.000826862194]
[5.8313, 3.2359, 0.026287698746]
[5.6205, 3.6322, 0.013544002348]
[5.3943, 3.7521, 0.003763262093]
[5.8045, 3.2922, 0.02150064826]
[5.541, 3.666, 0.008098210415]
[5.4107, 3.8457, 0.006584075639]
[5.7783, 3.3429, 0.019204219448]
[5.5201, 3.728, 0.005397926375]
[5.3986, 3.9117, 0.006757032378]
[5.8479, 3.4339, 0.006268384376]
[5.5495, 3.8098, 0.004124462088]
[5.4167, 3.9852, 0.003542932786]
[6.0352, 3.3914, 0.013680679533]
[5.6736, 3.7051, 0.021002374832]
[5.4812, 3.8431, 0.0009825804]
[5.9998, 3.4427, 0.011248121068]
[5.7004, 3.8022, 0.008903148801]
[5.5517, 3.9735, 0.000582069893]
[5.9745, 3.4931, 0.008591364493]
[5.6776, 3.8588, 0.006912132907]
[5.5323, 4.0318, 0.000277817432]
[5.9512, 3.5367, 0.007018805817]
[5.6591, 3.9079, 0.005357148903]
[5.516, 4.0804, 0.000518934153]
[5.8236, 3.1897, 0.014106726535]
[5.4588, 3.4949, 0.025438079448]
[5.2693, 3.6304, 0.001858960021]
[5.7844, 3.2413, 0.013192714854]
[5.5026, 3.6111, 0.00969860029]
[5.358, 3.7831, 0.00306061652]
[5.7843, 3.3069, 0.006370735316]
[5.4862, 3.6723, 0.005529326322]
[5.3424, 3.845, 0.003042712158]
[5.7654, 3.3545, 0.005972499708]
[5.4741, 3.7264, 0.003253967771]
[5.327, 3.8974, 0.003585561591]
[6.2492, 3.6163, 0.008143838956]
[5.9663, 3.9807, 0.005104534937]
[5.7962, 4.1395, 0.002847065972]
[6.2001, 3.6568, 0.007185635976]
[5.9105, 4.0238, 0.004251155396]
[5.7633, 4.1947, 0.002451191874]
[6.1647, 3.6987, 0.005720575921]
[5.8733, 4.067, 0.003531983231]
[5.7292, 4.2381, 0.002007218963]
[6.1341, 3.7356, 0.004228790697]
[5.8433, 4.1048, 0.00281936214]
[5.7036, 4.2762, 0.001215536208]
[6.3517, 3.6896, 0.007383590274]
[6.0684, 4.0677, 0.007939337971]
[5.9324, 4.2525, 0.002191203634]
[6.2957, 3.7292, 0.005946821225]
[6.0028, 4.1036, 0.005079809962]
[5.8635, 4.2852, 0.002512676217]
[6.2539, 3.7639, 0.005487524254]
[5.9585, 4.1427, 0.003324142064]
[5.8206, 4.3223, 0.002035197085]
[6.2175, 3.8003, 0.004494798509]
[5.9231, 4.1778, 0.002193842712]
[5.7872, 4.3542, 0.001229641188]
[5.6652, 3.1314, 0.013552178566]
[5.4007, 3.4763, 0.017936005645]
[5.2769, 3.6368, 9.979394e-06]
[5.6478, 3.1973, 0.010016777254]
[5.3904, 3.5552, 0.008962370978]
[5.2676, 3.7202, 0.000133572093]
[5.6367, 3.256, 0.008973813]
[5.3901, 3.6264, 0.000578318095]
[5.2666, 3.7937, 3.7675849e-05]
[5.618, 3.3042, 0.007780605032]
[5.384, 3.6836, 0.000133864107]
[5.2628, 3.8524, 0.001312874555]
[5.6782, 3.1154, 0.01216935604]
[5.4184, 3.457, 0.011189956938]
[5.2789, 3.6166, 0.000787061056]
[5.6548, 3.1811, 0.010681726867]
[5.4027, 3.5368, 0.006624030231]
[5.2646, 3.7009, 0.001039979159]
[5.6475, 3.2456, 0.00872045889]
[5.394, 3.6071, 0.00164838232]
[5.2597, 3.7746, 0.000905999411]
[5.6303, 3.2906, 0.007793023434]
[5.3842, 3.6657, 0.001880741169]
[5.2538, 3.8346, 0.000740216655]
[6.5048, 3.8614, 0.007099830656]
[6.2411, 4.2475, 0.006666348747]
[6.1157, 4.438, 0.000763619413]
[6.4424, 3.8908, 0.004936670419]
[6.1641, 4.271, 0.003676444844]
[6.0318, 4.4549, 0.000931817374]
[6.3931, 3.9212, 0.004846450867]
[6.1125, 4.3006, 0.000607312592]
[5.9782, 4.4814, 0.000792631543]
[6.3543, 3.9501, 0.002866329443]
[6.0685, 4.3284, 0.000596685196]
[5.9366, 4.5057, 0.001347946281]
[6.4304, 2.4562, 1.33015395929]
[6.1224, 2.848, 1.112034645141]
[5.9449, 3.0649, 1.010610351839]
[6.3939, 2.5004, 1.359010985746]
[6.0695, 2.9096, 1.11745166]
[5.8958, 3.1267, 1.015898559521]
[6.3474, 2.5773, 1.33671459555]
[6.0353, 2.9777, 1.118113111417]
[5.8636, 3.1939, 1.022280287676]
[6.3102, 2.6451, 1.320890228655]
[6.0033, 3.047, 1.108227765394]
[5.8391, 3.2574, 1.022980455986]
[6.545, 2.8352, 1.220853222674]
[6.3134, 3.163, 1.088650596774]
[6.1555, 3.3833, 0.979447075376]
[6.4891, 2.8784, 1.220800222368]
[6.2439, 3.2042, 1.086200299035]
[6.0873, 3.4155, 0.989265859644]
[6.4463, 2.9215, 1.220272780665]
[6.2014, 3.2469, 1.092045647798]
[6.0442, 3.4533, 1.001115231236]
[6.4092, 2.9659, 1.215931840417]
[6.1585, 3.2969, 1.080669311377]
[6.0052, 3.4975, 1.000313072836]
[5.6275, 2.4205, 1.032683030041]
[5.4157, 2.7318, 0.930361819319]
[5.2893, 2.9107, 0.872988401556]
[5.6074, 2.4873, 1.027671467921]
[5.3884, 2.7203, 0.993224982123]
[5.2638, 2.9517, 0.888594243512]
[5.5881, 2.5489, 1.017072338879]
[5.37, 2.7984, 0.971078534867]
[5.2506, 3.0245, 0.877651178022]
[5.5725, 2.6104, 1.003352122286]
[5.365, 2.8829, 0.946201435396]
[5.2384, 3.0972, 0.863220679729]
[6.4268, 3.0014, 1.205203069182]
[6.2527, 3.2296, 1.156748001347]
[6.0451, 3.4439, 0.950825535852]
[6.3713, 3.0363, 1.189236264872]
[6.2244, 3.2602, 1.214571006222]
[6.0672, 3.4393, 1.027855852689]
[6.3379, 3.0713, 1.191488390018]
[6.1833, 3.298, 1.208367258727]
[6.0267, 3.4793, 1.029226526159]
[6.3084, 3.105, 1.189078304761]
[6.1319, 3.3386, 1.163961479115]
[5.9724, 3.5197, 1.004790635238]
[6.2739, 2.5995, 1.205953322314]
[6.0077, 2.9477, 1.026198948981]
[5.8452, 3.147, 0.935224210644]
[6.2314, 2.6541, 1.206540223769]
[5.9596, 3.0142, 1.021913519913]
[5.8045, 3.2044, 0.948377797806]
[6.2034, 2.7088, 1.207248277764]
[5.9318, 3.069, 1.028902430081]
[5.7817, 3.2623, 0.959331049463]
[6.1764, 2.7645, 1.202095615372]
[5.912, 3.124, 1.031807155299]
[5.765, 3.3187, 0.964328737809]
[6.569, 2.8979, 1.23226039776]
[6.4364, 3.0764, 1.301849155842]
[6.2315, 3.3799, 1.043536950363]
[6.5099, 2.9359, 1.228752190438]
[6.3646, 3.1262, 1.278866263898]
[6.1897, 3.3771, 1.081735044908]
[6.4664, 2.9745, 1.228482508659]
[6.2957, 3.1971, 1.229900702869]
[6.1247, 3.4336, 1.064137805585]
[6.4282, 3.0153, 1.222587037865]
[6.2397, 3.2607, 1.190418248434]
[6.0739, 3.4863, 1.048356865065]
[6.5175, 2.8441, 1.227121686155]
[6.2477, 3.2051, 1.032723803182]
[6.1091, 3.4104, 0.950396594941]
[6.4619, 2.8851, 1.222771548111]
[6.1846, 3.2465, 1.030754222752]
[6.0386, 3.4436, 0.955490274505]
[6.4204, 2.9254, 1.223778195327]
[6.1442, 3.2843, 1.037128732003]
[5.9947, 3.478, 0.966641030408]
[6.3851, 2.9699, 1.21702115849]
[6.0785, 3.2344, 1.034140199951]
[5.8911, 3.3778, 0.956260731148]
[6.1771, 2.5767, 1.190345087498]
[5.9384, 2.8998, 1.040705880641]
[5.7846, 3.1018, 0.944014659705]
[6.1423, 2.6343, 1.190673504316]
[5.907, 2.9482, 1.056050776482]
[5.7535, 3.1526, 0.960475011775]
[6.12, 2.6884, 1.193508132447]
[5.8879, 3.0073, 1.064226458161]
[5.7372, 3.2106, 0.973725543866]
[6.097, 2.7438, 1.188944995775]
[5.8682, 3.0706, 1.059023014961]
[5.7191, 3.2694, 0.975585744468]
[6.2599, 2.6628, 1.207168198353]
[5.9712, 3.0094, 1.016119404155]
[5.8394, 3.2124, 0.92929254176]
[6.1565, 2.705, 1.198824207981]
[5.9253, 3.063, 1.016701081241]
[5.7949, 3.2619, 0.940529039894]
[6.1299, 2.7562, 1.198184287729]
[5.8934, 3.1119, 1.020988576]
[5.7636, 3.3073, 0.953130583691]
[6.1106, 2.807, 1.196956554926]
[5.8803, 3.1666, 1.025213651887]
[5.7472, 3.3573, 0.961962827019]
[6.5837, 2.9197, 1.239900541534]
[6.3409, 3.2804, 1.053511106004]
[6.1999, 3.4949, 0.963383326231]
[6.5236, 2.9588, 1.234541667531]
[6.2749, 3.3071, 1.062186142012]
[6.1321, 3.5117, 0.98013500125]
[6.4809, 2.9958, 1.234569768893]
[6.2281, 3.343, 1.066117428576]
[6.0839, 3.5422, 0.990764620052]
[6.4414, 3.0363, 1.227291471655]
[6.1868, 3.3819, 1.062549501475]
[6.0428, 3.575, 0.995600327364]
[6.2332, 2.551, 1.236835425706]
[5.9886, 2.8499, 1.098405193909]
[5.8087, 3.0784, 0.957681771996]
[6.2005, 2.5979, 1.248374576698]
[5.9755, 2.8938, 1.117310295349]
[5.7968, 3.1153, 0.988718760365]
[6.2002, 2.6326, 1.285752918152]
[5.9398, 2.9698, 1.104147805188]
[5.7782, 3.1832, 0.993569469234]
[6.1769, 2.6917, 1.276958928797]
[5.9098, 3.0418, 1.088983121003]
[5.7518, 3.248, 0.991582208417]
[6.3531, 2.677, 1.199667308234]
[6.129, 2.9473, 1.112817830928]
[5.957, 3.1698, 0.977811907276]
[6.3061, 2.728, 1.199173634153]
[6.1205, 2.9526, 1.188783216553]
[5.9368, 3.1901, 1.01918847509]
[6.2731, 2.7773, 1.200232815937]
[6.0755, 3.0273, 1.163740769696]
[5.9026, 3.2537, 1.01712976204]
[6.2444, 2.8273, 1.197418159327]
[6.0378, 3.0951, 1.140094779569]
[5.871, 3.3118, 1.01149943674]
[6.1704, 2.4777, 1.22198198365]
[5.8915, 2.7973, 1.06872382892]
[5.7353, 3.002, 0.971436711129]
[6.1253, 2.542, 1.214441587563]
[5.854, 2.8561, 1.076521468876]
[5.7053, 3.0643, 0.976187069505]
[6.1003, 2.5996, 1.215245961006]
[5.8456, 2.9167, 1.088330085503]
[5.6931, 3.1231, 0.991716540573]
[6.0796, 2.6572, 1.211321602103]
[5.8263, 2.981, 1.082792998724]
[5.6792, 3.1872, 0.992026949161]
[6.5525, 2.8983, 1.238480438747]
[6.4226, 3.0814, 1.279376526002]
[6.2411, 3.339, 1.080667692236]
[6.5002, 2.9345, 1.238626314055]
[6.3449, 3.1342, 1.260525641794]
[6.1681, 3.3778, 1.07883860498]
[6.458, 2.9745, 1.237121815451]
[6.2785, 3.203, 1.220212615278]
[6.1077, 3.4317, 1.06556492566]
[6.4212, 3.0159, 1.229844136859]
[6.2246, 3.2659, 1.185104979874]
[6.0586, 3.4838, 1.050810560479]
[6.672, 2.9536, 1.268631654716]
[6.4249, 3.3354, 1.066237770113]
[6.2858, 3.5509, 0.972343273179]
[6.6162, 2.972, 1.286265361867]
[6.3648, 3.3381, 1.09559796383]
[6.2138, 3.5548, 0.992529710141]
[6.5647, 3.0115, 1.279934124081]
[6.3074, 3.3722, 1.093043095067]
[6.157, 3.5802, 1.00161723426]
[6.5187, 3.056, 1.263393709658]
[6.2577, 3.4111, 1.08420630286]
[6.1083, 3.6142, 1.000713127786]
[5.8641, 2.4107, 1.144013843795]
[5.6426, 2.7771, 0.946695535475]
[5.5028, 2.9589, 0.872529553842]
[5.8433, 2.4719, 1.149653494262]
[5.6246, 2.8392, 0.963799478747]
[5.4932, 3.0253, 0.896669518014]
[5.8329, 2.5369, 1.150751714142]
[5.6156, 2.9049, 0.972983752526]
[5.4873, 3.0906, 0.912885584898]
[5.826, 2.6011, 1.147887011507]
[5.6045, 2.9674, 0.974239362016]
[5.4821, 3.1543, 0.919502317216]
[5.8973, 2.3941, 1.176282262531]
[5.6651, 2.7353, 0.995624058126]
[5.5134, 2.9217, 0.905354754266]
[5.873, 2.4568, 1.179541805444]
[5.6484, 2.8079, 1.005172055689]
[5.502, 2.9939, 0.923915534726]
[5.8643, 2.5289, 1.177340664836]
[5.6305, 2.8753, 1.009002240038]
[5.4962, 3.0669, 0.934910456429]
[5.8395, 2.5807, 1.174028995546]
[5.6258, 2.9444, 1.008436563019]
[5.4876, 3.1297, 0.941523433262]
[6.8197, 3.1929, 1.246713003456]
[6.5967, 3.5376, 1.065336607655]
[6.4668, 3.754, 0.975892563796]
[6.748, 3.21, 1.246202376885]
[6.5099, 3.5421, 1.075204888784]
[6.371, 3.7463, 0.990652659071]
[6.6926, 3.2358, 1.242794201526]
[6.4455, 3.562, 1.078479059212]
[6.3035, 3.7555, 1.004479849641]
[6.6436, 3.2651, 1.236038686019]
[6.3894, 3.5861, 1.072361994107]
[6.2471, 3.7746, 1.006258042092]
[4.7046, 2.4327, 0.000268926682]
[4.5132, 2.7812, 0.000416781663]
[4.4173, 2.9405, 0.001082344781]
[4.6717, 2.4979, 2.7678387e-05]
[4.4651, 2.8471, 3.1895845e-05]
[4.3711, 3.0085, 0.001470251539]
[4.6558, 2.5691, 2.3810087e-05]
[4.4456, 2.9212, 1.2654952e-05]
[4.3553, 3.0845, 0.001615832173]
[4.6434, 2.6336, 1.9669151e-05]
[4.4333, 2.9878, 1.5179878e-05]
[4.3448, 3.1495, 0.001729718068]
[4.9619, 2.8205, 0.002144924435]
[4.7577, 3.1082, 3.561891e-05]
[4.6837, 3.2731, 0.000284641594]
[4.9196, 2.8619, 4.7623709e-05]
[4.701, 3.1551, 3.8770772e-05]
[4.6197, 3.3132, 0.000190459286]
[4.8902, 2.9076, 3.0253936e-05]
[4.6672, 3.2057, 3.0541589e-05]
[4.5864, 3.3639, 0.000335579104]
