Name, ExactMolWt, NumVE, HeavyAtom#, NHOH#, NOC#, NumHAcc#, NumHDo#, NumHeteroatoms, fr_Al_COO, fr_Al_OH, fr_Al_OH_noTert, fr_COO, fr_COO2, fr_C_O, fr_C_O_noCOO, fr_NH0, fr_NH1, fr_NH2, fr_allylic_oxid, fr_dihydropyridine, fr_methoxy, fr_nitrile, fr_nitro, fr_nitroso, fr_piperdine, MetalAN, #linker, #unit, IP, EA,  H-L gap
Py_8_10 [5487.61, 1970, 432, 20, 60, 60, 20, 60, 0, 0, 0, 0, 0, 0, 0, 40, 20, 0, 40, 0, 0, 0, 0, 0, 20, 8, 10, 5.48, 3.976, 0.718]
DHP_2_2 [958.4, 354, 74, 8, 12, 12, 8, 12, 0, 0, 0, 0, 0, 0, 0, 4, 8, 0, 16, 4, 0, 0, 0, 0, 0, 2, 2, 5.549, 2.473, 0.907]
DHP_2_3 [1448.59, 534, 112, 12, 18, 18, 12, 18, 0, 0, 0, 0, 0, 0, 0, 6, 12, 0, 24, 6, 0, 0, 0, 0, 0, 2, 3, 5.368, 2.53, 1.085]
DHP_2_4 [1938.78, 714, 150, 16, 24, 24, 16, 24, 0, 0, 0, 0, 0, 0, 0, 8, 16, 0, 32, 8, 0, 0, 0, 0, 0, 2, 4, 5.238, 2.803, 0.843]
DHP_2_5 [2428.97, 894, 188, 20, 30, 30, 20, 30, 0, 0, 0, 0, 0, 0, 0, 10, 20, 0, 40, 10, 0, 0, 0, 0, 0, 2, 5, 5.144, 2.988, 0.715]
DHP_2_6 [2919.16, 1074, 226, 24, 36, 36, 24, 36, 0, 0, 0, 0, 0, 0, 0, 12, 24, 0, 48, 12, 0, 0, 0, 0, 0, 2, 6, 5.074, 3.117, 0.644]
DHP_2_7 [3409.35, 1254, 264, 28, 42, 42, 28, 42, 0, 0, 0, 0, 0, 0, 0, 14, 28, 0, 56, 14, 0, 0, 0, 0, 0, 2, 7, 5.006, 3.274, 0.593]
DHP_2_8 [3899.54, 1434, 302, 32, 48, 48, 32, 48, 0, 0, 0, 0, 0, 0, 0, 16, 32, 0, 64, 16, 0, 0, 0, 0, 0, 2, 8, 4.963, 3.338, 0.57]
DHP_2_9 [4389.73, 1614, 340, 36, 54, 54, 36, 54, 0, 0, 0, 0, 0, 0, 0, 18, 36, 0, 72, 18, 0, 0, 0, 0, 0, 2, 9, 4.931, 3.369, 0.581]
DHP_2_10 [4879.92, 1794, 378, 40, 60, 60, 40, 60, 0, 0, 0, 0, 0, 0, 0, 20, 40, 0, 80, 20, 0, 0, 0, 0, 0, 2, 10, 4.902, 3.414, 0.566]
DHP_4_2 [982.4, 362, 76, 8, 12, 12, 8, 12, 0, 0, 0, 0, 0, 0, 0, 4, 8, 0, 16, 4, 0, 0, 0, 0, 0, 4, 2, 5.535, 2.525, 0.927]
DHP_4_3 [1496.59, 550, 116, 12, 18, 18, 12, 18, 0, 0, 0, 0, 0, 0, 0, 6, 12, 0, 24, 6, 0, 0, 0, 0, 0, 4, 3, 5.35, 2.651, 1.03]
DHP_4_4 [2010.78, 738, 156, 16, 24, 24, 16, 24, 0, 0, 0, 0, 0, 0, 0, 8, 16, 0, 32, 8, 0, 0, 0, 0, 0, 4, 4, 5.219, 2.908, 0.831]
