IP, EA, H-L gap
[5.7476, 3.8789, 0.630725038455]
[5.6954, 3.9426, 0.622511822185]
[5.6544, 4.0074, 0.593167132]
[5.6215, 4.054, 0.581390677634]
[6.3093, 3.0183, 1.019932167945]
[6.1397, 3.2766, 0.994174207371]
[5.9712, 3.5065, 0.844898494648]
[5.8595, 3.6612, 0.764025308151]
[5.7794, 3.7718, 0.718344990258]
[5.7184, 3.8548, 0.689985114011]
[5.6694, 3.9206, 0.671009228004]
[5.6296, 3.9736, 0.657784136955]
[5.5962, 4.0191, 0.64772165208]
[6.2774, 3.055, 1.030230186762]
[6.0927, 3.3231, 0.988541912412]
[5.9294, 3.5448, 0.854097172504]
[5.8228, 3.6896, 0.786497922642]
[5.7466, 3.793, 0.749283953871]
[5.689, 3.8711, 0.726731804601]
[5.6432, 3.932, 0.711710760831]
[5.6065, 3.9815, 0.701633190527]
[5.5751, 4.022, 0.69401559446]
[6.2484, 3.0929, 1.035002753744]
[6.0505, 3.372, 0.975285991538]
[5.8929, 3.5851, 0.85665931182]
[5.7906, 3.7226, 0.799278933344]
[5.717, 3.8195, 0.767582741863]
[5.6623, 3.8934, 0.749417024544]
[5.6195, 3.951, 0.737847550776]
[5.5843, 3.9969, 0.729443576532]
[5.5549, 4.0344, 0.723349090504]
[5.9873, 2.6279, 0.975674472292]
[5.7391, 2.938, 0.848569520715]
[5.5642, 3.152, 0.732857179727]
[5.4484, 3.2941, 0.664725898296]
[5.3638, 3.3963, 0.622071443333]
[5.2987, 3.4752, 0.593489573668]
[5.2466, 3.5375, 0.57372699477]
[5.2036, 3.5882, 0.55937847544]
[5.1673, 3.6299, 0.549126720551]
[5.9636, 2.6761, 0.99310096065]
[5.7183, 2.9908, 0.871334531274]
[5.554, 3.1979, 0.769459602229]
[5.4443, 3.3346, 0.712219983229]
[5.3643, 3.4329, 0.677420334546]
[5.3042, 3.507, 0.65603192177]
[5.2558, 3.566, 0.641020371002]
[5.2166, 3.614, 0.630448867153]
[5.1833, 3.6533, 0.622556320628]
[5.9483, 2.7274, 1.004778209556]
[5.7078, 3.047, 0.887008530179]
[5.55, 3.2535, 0.792868549547]
[5.4455, 3.3864, 0.743170647682]
[5.3698, 3.481, 0.714168035197]
[5.3125, 3.5527, 0.696103221403]
[5.267, 3.608, 0.684039077177]
[5.2302, 3.6536, 0.675373590301]
[5.1989, 3.6903, 0.669016938153]
[5.9337, 2.7791, 1.010846460366]
[5.6966, 3.1074, 0.890800113352]
[5.5436, 3.3096, 0.80551333789]
[5.4444, 3.4388, 0.762198645216]
[5.3749, 3.5316, 0.738767845605]
[5.3203, 3.5994, 0.723114911933]
[5.2783, 3.6529, 0.713421531725]
[5.2442, 3.6957, 0.70667565282]
[5.2159, 3.7311, 0.701822081378]
[6.0921, 2.6899, 0.97582271099]
[5.8358, 2.9979, 0.849417583582]
[5.6567, 3.222, 0.726657331241]
[5.5403, 3.3668, 0.65636302029]
[5.4545, 3.4737, 0.611510823403]
[5.3884, 3.5533, 0.581988856937]
[5.3354, 3.6158, 0.560790888289]
[5.2928, 3.6673, 0.545879749236]
[5.2575, 3.7111, 0.534491836456]
[6.0607, 2.7344, 0.991547593385]
[5.8217, 3.0362, 0.888639135592]
[5.6492, 3.2512, 0.774159610765]
[5.5351, 3.3929, 0.709824046056]
[5.4533, 3.4932, 0.672113128524]
[5.3901, 3.5699, 0.647923944348]
[5.3403, 3.6294, 0.631615667854]
[5.2993, 3.6768, 0.619916095622]
[5.2653, 3.7188, 0.611334311968]
[6.0411, 2.7843, 1.003674840434]
[5.8032, 3.0962, 0.898144162373]
[5.6382, 3.3078, 0.794322881694]
[5.5298, 3.4446, 0.739558827345]
[5.453, 3.5387, 0.708980922479]
[5.3947, 3.6111, 0.689464587449]
[5.3487, 3.6688, 0.676665650543]
[5.311, 3.7147, 0.667472682742]
[5.2796, 3.7526, 0.660937561188]
[6.0235, 2.8337, 1.01051372263]
[5.7843, 3.1529, 0.899765368689]
[5.626, 3.3595, 0.805935862672]
[5.5235, 3.4912, 0.759023779334]
[5.4494, 3.5836, 0.732092462826]
[5.395, 3.654, 0.716420642878]
[5.3511, 3.7077, 0.705518836173]
[5.3156, 3.7507, 0.697992601769]
[5.2864, 3.7867, 0.692795833043]
[6.1587, 2.746, 0.988368532779]
[5.8469, 3.0356, 0.842018878467]
[5.668, 3.2317, 0.738603216477]
[5.5451, 3.3552, 0.686586694287]
[5.4608, 3.4528, 0.647758508787]
[5.3889, 3.5328, 0.611274755901]
[5.3336, 3.5933, 0.587255443586]
[5.288, 3.644, 0.568711541922]
[5.2497, 3.6861, 0.554521143527]
[6.1077, 2.793, 0.992569737288]
[5.9351, 2.9521, 1.046508555189]
[5.7148, 3.1976, 0.83911478026]
[5.5864, 3.3341, 0.754480478015]
[5.488, 3.4371, 0.702086281562]
[5.4132, 3.5234, 0.668543751823]
[5.3496, 3.5875, 0.646959805576]
[5.2998, 3.6398, 0.632826114508]
[5.2633, 3.6804, 0.623342660373]
[6.0848, 2.8392, 1.004730021628]
[5.8955, 3.0317, 1.024145330664]
[5.6978, 3.2537, 0.852571006313]
[5.591, 3.4165, 0.765809316342]
[5.5174, 3.533, 0.710354584476]
[5.4612, 3.6206, 0.675214889464]
[5.4001, 3.6767, 0.641585723084]
[5.3648, 3.7326, 0.619857961049]
[5.3363, 3.7775, 0.60581601618]
[6.0618, 2.8852, 1.011162855415]
[5.8602, 3.106, 0.999942108137]
[5.668, 3.3132, 0.852240057409]
[5.5522, 3.4484, 0.785008797754]
[5.468, 3.5423, 0.750539446749]
[5.3592, 3.7671, 0.435731681775]
[5.3218, 3.8054, 0.439842390535]
[5.3168, 3.715, 0.70839389883]
[5.2839, 3.7517, 0.702607724081]
[6.3286, 2.9592, 1.007850119587]
[6.1904, 3.1632, 1.042786804427]
[5.9562, 3.4665, 0.801194803269]
[5.8296, 3.6307, 0.710220292756]
[5.747, 3.7365, 0.66305384293]
[5.6817, 3.8185, 0.628522335124]
[5.6299, 3.8823, 0.603917027567]
[5.5885, 3.9341, 0.586091538114]
[5.5535, 3.9782, 0.572211445775]
[6.2875, 2.9861, 1.026083253406]
[6.1595, 3.1845, 1.08333752849]
[5.9706, 3.427, 0.885349152411]
[5.8445, 3.587, 0.786498050585]
[5.7542, 3.6996, 0.731829697134]
[5.6871, 3.7836, 0.699316608039]
[5.6327, 3.8493, 0.6779662841]
[5.5884, 3.9026, 0.662783264605]
[5.5516, 3.9475, 0.651288568537]
[6.2574, 3.0242, 1.036283905858]
[6.1037, 3.2465, 1.055807217911]
[5.9233, 3.4798, 0.883293534436]
[5.8059, 3.6283, 0.802614502303]
[5.7228, 3.7325, 0.759537189535]
[5.6602, 3.8112, 0.734089406217]
[5.6101, 3.8727, 0.717467398378]
[5.5696, 3.9222, 0.706376980701]
[5.5352, 3.9627, 0.69757604208]
[6.23, 3.0633, 1.040964360886]
[6.0556, 3.3078, 1.027455244178]
[5.8833, 3.5307, 0.878466155911]
[5.7732, 3.6705, 0.811832513579]
[5.6953, 3.7685, 0.776598717849]
[5.6356, 3.8419, 0.755525442344]
[5.5896, 3.8996, 0.743321994154]
[5.5518, 3.9459, 0.734197967684]
[5.5203, 3.9836, 0.727704105735]
[6.4284, 3.0286, 1.006673344878]
[6.2044, 3.3722, 0.875281733726]
[6.0491, 3.604, 0.758823234216]
[5.9444, 3.7584, 0.688949051768]
[5.867, 3.8708, 0.6449662434]
[5.8071, 3.9562, 0.616188573679]
[5.7593, 4.023, 0.596489296945]
[5.7197, 4.0793, 0.581624177109]
